,text,mark
48,но несмотря на это в большинство случай он творение сопровождать успех поскольку сделать исключительно правильно по весь канон кинематограф что ли,1.0
49,и стоить признать что справляться оно с это на ура думать при просмотр это аттракцион как никогда уместно быть посоветовать маленький обращать внимание на сюжетный неровность и просто ловить кайф от происходить,1.0
50,мироощущение и переживание элио излагаться неспешно и лаконично давать зритель расслабиться под уютный летний картинка и недолгий беззаботность юношеский день,1.0
51,впрочем для серьёзный мысль обычно сниматься другой кино а здесь простой забыть о тот что происходить за окно и насладиться самый дорогостоящий реклама очки виртуальный реальность,1.0
52,после фильм я до сей пора в отличный настроение,1.0
53,в целое это замечательный фильм с хороший посыл зритель который никто не оставить равнодушный,1.0
54,берия получиться на высокий уровень передача и правдоподобность хрущев и маленков вызывать частый овация в зал ибо тэмбора и бушеметь справиться с свой роль без какихлибо претензия,1.0
55,к дать картина совсем нельзя придраться сюжет актёрский игра операторский работа абсолютно весь в этот картина выйти на высокий уровень,1.0
56,в итог хотеть сказать что счастливый случай являть себя приятный душевный картина с правильный посыл и мораль который совершенно не хотеться оспаривать,1.0
57,это настоящий качественный без дурак свежий и оригинальный проект,1.0
58,воистину эпохальный и неподражаемый роман дракула выйти изпод перо ирландский писатель брэм стокер стать фактически основный культурный произведение,1.0
59,фильм хрупкий и обнажённый путешествие в сказочный лето летний подросток элио,1.0
60,слава спилберг эксить визуал и постановка в фильм поставить на такой высокий планка что ты сидеть с открытый рот буквально с пять минута фильм,1.0
61,крайне рекомендовать данный фильм к просмотр абсолютно весь независимо от возраст и познание в гиккультура,1.0
62,когдато один уважаемый я человек посоветовать я книга о воспитание соловейчик поразительный книга в глава угол который автор ставить уважение к маленькая личность уважение как базовый элемент люба любовь люба крепкий личность,1.0
63,что касаться самый история то и здесь у аутсайдер весь в порядок за последовательный восхождение ник по иерархический лестница якудз наблюдать интересно местами даже очень,1.0
64,в итог хотеть сказать что фильм райана круглера раскрывать перед мы дивный красота раскрывать серьёзный пласт история не бояться смелый художественный решение и вместе с тем дарить зритель приятный ощущение комфорт,1.0
65,тайна коко невероятно богатый и щедрый мультфильм красота в каждый кадр огромный количество яркий интересный персонаж скрупулёзный внимание к деталь интересный точечный находка и что уж грех таить невероятно трогательный и милый история,1.0
66,это хороший что я видеть за последний время,1.0
67,атмосфера сериал яркий сочный местами кричащий в отличие от первое сезон весь соответствовать мечта главный герой и реальность версач,1.0
68,простой и понятный в время просмотр который постоянно смеяться или пребывать в состояние около это а после просмотр оставаться довольный тем что увидеть,1.0
69,дело храбрый это почти эталонный пример какой должный быть настоящий байопик а фотография отряд после заключительный сцена вызывать сильный эмоция,1.0
70,я получить огромный удовольствие от просмотр данный фильм,1.0
0,это откровенно слабый фильм который демонстрировать то на сколько студия дисней сдать свой позиция на поприще семейный кино,-1.0
1,первое за что хотеться отругать создатель картина это то с какой серьёзный вид они нести псевдонаучный ахинея в масса,-1.0
2,фильм буквально задушить пафос,-1.0
3,впечатление от всего это жуткий,-1.0
4,актёр играть просто кошмарно но я они даже и ругать не быть ну видно же что этот бездарь набрать гдеть в курилка киностудия,-1.0
5,в общий этот история я не просто не тронуть но вызвать отвращение извращенство какоеть,-1.0
6,плохой мы видеть в менталиста,-1.0
7,интересный история быть загубить ужасный исполнение,-1.0
8,на протяжение почти два часы мы наблюдать как неинтересный безликий персонаж бессмысленно перемещаться по несколько блёклый локация,-1.0
9,картина получиться пустой и скучный режиссёрский и операторский работа посредственный картинка отдавать дешевизна,-1.0
10,фильм абсолютно невменяемый сценарий,-1.0
11,пустой лишить смысл зрелище с убогий актёрский игра,-1.0
12,не оправдывать потратить время на безвкусица и вульгарность сценарий,-1.0
13,новый лара получиться слишком пресный плоский предсказуемый да и просто глупый,-1.0
14,любой здравомыслящий зритель поразить количество запредельный глупость в фильм,-1.0
15,бессодержательный диалог невероятно скучный развитие нестройный сюжет будто надкусать чьимитый жадный зуб откровенно глупый сцена,-1.0
16,простой как три копейка история банальный до безумие с вымучить и избитый за последний год призыв к безграничный толерантность,-1.0
17,нет ничто эпичный в бессмысленность и жестокость,-1.0
18,серия деградировать с колоссальный скорость и это очень печально,-1.0
19,самый слабый в фильм являться конечно же сценарий в немой много нелогичный место неувязка многие сюжетный ветка и сцена никак не влиять на развитие основной сюжетный история,-1.0
20,смотреть быть скучно весь очень нудный уныло и практически совсем неинтересно,-1.0
21,этот постоянный совсем необязательный невзрачный и ни о что не говорящий флешбэк невнятность и банальность сюжет,-1.0
22,последний джедай ужасный,-1.0
23,он пресный совершенно никакой,-1.0
24,тем острый и неприятный быть чувство брезгливый неловкость и горечь который я испытать после просмотр,-1.0
25,иметь провисание сюжет несуразность и просто довольно скучный кино,-1.0
26,большинство актёр деревянный они игра паршивый эмоция наигранный,-1.0
27,просто я быть невыносимый больно и тошный,-1.0
28,главный героиня мерзкий склочный неуравновешенный и при это предельно наглый не внушать ничто кроме отвращение,-1.0
29,либо гильермо дель торо на старость год совсем сойти с ум и стать один из плохой режиссёр современность ибо подобный чушь я действительно давно не видеть,-1.0
30,а так же ужасный рояль в куст настолько нелепый притянуть за ухо совпадение я не видеть никогда,-1.0
31,начать с тот что этот фильм плохой что видеть в свой жизнь,-1.0
32,музыка в фильм в основное служить для создание напряжение но она с свой задача абсолютно не справляться фильм представлять себя унылый максимально неинтересный зрелище,-1.0
33,в это фильм так много дурацкий сцена что я быть помечать самый абсурдный из они вот такой звёздочка но о весь по порядок,-1.0
34,неинтересный и в многое предсказуемый сюжет топорный исполнение отсутствие хоть какихтый цеплять режиссерскооператорский находка полный незнание внутрироссийский будничнобытов реалия получить то что получить пожалуй самый некачественный кино за последний время,-1.0
35,в итог из весь указанный момент в совокупность и создаваться пародия на некогда качественный история последний джедай проигрывать даже никчёмный пробуждение сила очень обидный за хороший история который окунуть в отхожий ям не ждать ничто хороший от этот новый серия но весь равно смочь неприятно удивить,-1.0
36,фильм не быть рекомендовать к просмотр но он можно глянуть от большой скука чтобы ещё раз поругать на этот раз вполне заслуженно нашенский кинематограф хотя такой творческий попустительство откровенный отсутствие идея от учитель не ожидать оттуда весь это разочарование,-1.0
37,ненавидеть позволить я сказать вы насколько я возненавидеть вы с тот пора как я начать жить,-1.0
38,я ненавидеть свой брат так как это самый грубый ленивый невоспитаный человек в наш семья,-1.0
39,я плохо относиться к алкоголь,-1.0
40,ты ужасно себя вести последний время,-1.0
41,не вызывать сомнение что политика проводить наш власть в последний год мочь вызывать сугубо негативный отрицательный эмоция,-1.0
42,худой всего то что я не мочь с уверенность определить действительно ли он чтоть чувствовать или это всего лишь приступ паранойя,-1.0
43,если они работа затянуться на несколько день то это плохо,-1.0
44,должный признаться что и сам плохо относиться к мужской пол,-1.0
45,финал предсказуемый и скучный нет у фильм цеплять составлять вдумываться не стоить шутка плоский,-1.0
46,самый страшный сей творение кроме написать выше в фильм ничто хороший нет,-1.0
47,фильм не быть рекомендовать к просмотр это скучный зрелище напичкать уморительный шаблон,-1.0
48,фильм не быть рекомендовать к просмотр это скучный абсолютно негативно клишировать слэшер,-1.0
49,злодей сильный злой жестокий нацист практически плюс явно сексуально неудовлетворённый,-1.0
50,а я угрожать бывший для коготь мочь и мелочь а я не мочь ни есть ни спать бояться выходить из дом бояться,-1.0
51,она терроризировать весь мой семь пока гостить у они терроризировать весь кто встречаться она на путь,-1.0
52,сказать что дом всегда срач а я даже занавеска не мочь повесить и готовить плохо и вообще он уже давно задуматься какой с я семья если я весь делать худой,-1.0
53,она дико ленивый и вообще не приемлет никакой домашний работа,-1.0
54,недавно у я быть проблема в семья я в плохой настроение и тут этот коллега хамский тон спрашивать куда я дело один важный документ,-1.0
55,я находиться в какойтый беспросветный пустота работа еле выносить,-1.0
56,я хотеть сбежать из это ад,-1.0
57,полгода ад самобичевание самоугрызение,-1.0
58,узнать что мой жена я ненавидеть,-1.0
59,учиться на специальность который ненавидеть и не хотеть связывать с она свой жизнь,-1.0
60,она избить до смерть и перед это жестоко насиловать,
61,кошмар заключаться в два момент,-1.0
62,ранний всегда раскаиваться после вспышка но в последний время считать что я сам виноватый и вывести он,-1.0
63,просто потому что неправильно понять смысл предложение не знать что быть завтра не мочь спать я в ужас,-1.0
64,откуда столько агрессия и кто она так промыть мозги ум не приложить,-1.0
65,он взбеситься выволочь я на улица избить кулак по лицо голов,-1.0
66,мочь я неправый но в душа жить сомнение что если бы не операция,-1.0
67,подрабатывать но платить мизер так что терпеть я этот ада ещё хрен знать сколько,-1.0
68,не мочь смотреть человек в глаз никогда в жизнь столько не реветь на ровный место никогда так не болеть сердце,-1.0
69,недавно мой ненависть дошлый до воплощение в жизнь я несколько раз с весь дурь в разгар ссора ударить свой знакомый голова о стеклянный стен и теперь я стать изгой и больной урод в глаз свой немногочисленный друг,-1.0
70,вот и сейчас наорать на я и назвать дура за то что я он не разбудить потому что он неправильно будильник поставить перед работа,-1.0
71,с первое день как только стать встречаться начаться жестокий и беспричинный вынос мозги по повод и без,-1.0
72,это не жизнь а настоящий пытка год это очень много если человек постоянно болеть,-1.0
73,в итог я привыкнуть относиться к себя как к чемуть мерзкий грузный и страшный чемуть что недостойно любовь от что человек уходить с омерзение и ужас,-1.0
74,после похороны родитель обвинить я в чёрствость и бездушность кричать что я опозорить семь раз не биться в рыдание,-1.0
